id,hour,weekday,record_num,avg_speed,car_num
2,0,0,17,46.1764705882353,2
2,2,0,3,66.49,1
2,3,0,8,51.375,1
2,4,0,1,59.3,1
2,5,0,6,53.7,1
2,6,0,8,66.625,1
2,8,0,3,40.3733333333333,1
2,9,0,5,41.6,1
2,12,0,16,47.5,2
2,13,0,5,57.808,2
2,14,0,6,44.45,1
2,16,0,11,49.4318181818182,1
2,18,0,4,61.115,1
2,19,0,13,53.2415384615385,3
2,20,0,3,46.9166666666667,2
2,21,0,6,54.9416666666667,1
2,22,0,5,41.4,1
2,23,0,17,54.2211764705882,2
3,0,0,19,43.51,2
3,1,0,5,54.898,2
3,2,0,12,67.3616666666667,2
3,3,0,2,72.415,1
3,5,0,11,49.12,2
3,6,0,1,1,1
3,7,0,13,44.1538461538462,1
3,8,0,20,44.3645,2
3,10,0,9,56.4022222222222,2
3,11,0,4,43.25,1
3,13,0,20,48.0005,3
3,14,0,15,55.1,2
3,17,0,16,46.256875,2
3,19,0,17,48.4994117647059,3
3,20,0,6,53.71,2
3,21,0,3,57.3333333333333,1
3,22,0,13,48.3938461538462,3
3,23,0,17,49.0547058823529,4
5,0,0,3,87.66,2
5,1,0,2,101.855,2
5,2,0,1,96.3,1
5,3,0,4,98.155,2
5,5,0,5,93.082,2
5,7,0,3,106.243333333333,2
5,8,0,1,77,1
5,9,0,1,103.71,1
5,10,0,3,106,2
5,11,0,4,99.08,2
5,12,0,2,96.305,2
5,13,0,2,101.5,1
5,14,0,5,78.8,2
5,15,0,9,100.372222222222,6
5,17,0,2,110,1
5,18,0,1,97.97,1
5,19,0,2,95.845,1
5,20,0,4,100.4775,3
5,21,0,2,94.45,1
5,22,0,4,99.93,3
5,23,0,3,105.503333333333,2
6,0,0,7,95.3857142857143,5
6,1,0,4,97.2275,3
6,2,0,2,92.6,2
6,3,0,5,98.526,3
6,5,0,5,93.082,2
6,6,0,1,103,1
6,7,0,6,102.79,4
6,8,0,2,86.65,2
6,9,0,1,103.71,1
6,10,0,6,104,3
6,11,0,9,98.14,6
6,12,0,6,101.221666666667,4
6,13,0,3,97.3,2
6,14,0,5,78.8,2
6,15,0,12,96.46,6
6,16,0,3,105.333333333333,2
6,17,0,3,107.333333333333,2
6,18,0,3,99.56,2
6,19,0,5,98.014,4
6,20,0,8,95.01375,5
6,21,0,2,94.45,1
6,22,0,8,100.34,5
6,23,0,4,104.5,3
7,5,0,1,29.63,1
7,10,0,1,48.2,1
7,11,0,1,44.4,1
8,20,0,3,53.0933333333333,1
9,0,0,2111,53.5044718143059,287
9,1,0,1709,57.1309128145113,227
9,2,0,1144,55.6991783216783,171
9,3,0,726,54.1173553719009,115
9,4,0,579,56.001640759931,83
9,5,0,356,51.4224438202247,65
9,6,0,418,50.1001674641149,104
9,7,0,835,47.9277125748503,132
9,8,0,1020,47.0088235294118,177
9,9,0,889,45.588492688414,141
9,10,0,935,46.579743315508,147
9,11,0,1297,49.9958057054741,167
9,12,0,1256,49.4036703821655,188
9,13,0,1387,45.0807714491707,203
9,14,0,1523,45.8178529218646,211
9,15,0,1458,45.4441358024691,196
9,16,0,1537,45.4161483409238,154
9,17,0,1720,42.5031279069767,199
9,18,0,2021,45.1663532904501,230
9,19,0,1580,47.4860886075949,222
9,20,0,1550,51.0151806451613,237
9,21,0,1998,51.7293393393393,276
9,22,0,1663,53.3794467829223,249
9,23,0,1781,56.7193430656934,205
10,0,0,49,54.1391836734694,8
10,1,0,46,59.4345652173913,6
10,2,0,24,52.8241666666667,3
10,3,0,17,53.2417647058824,3
10,4,0,11,54.8363636363636,2
10,5,0,11,61.5681818181818,2
10,6,0,15,53.8,2
10,7,0,13,49.6153846153846,2
10,8,0,16,50.325625,2
10,9,0,2,79,1
10,10,0,23,51.2621739130435,4
10,11,0,33,40.0772727272727,3
10,12,0,42,55.1130952380952,5
10,13,0,29,42.8410344827586,4
10,14,0,10,40.263,2
10,15,0,3,63.5233333333333,1
10,17,0,25,48.3212,4
10,19,0,20,49.369,4
10,20,0,8,58.33625,2
10,21,0,13,50.4915384615385,3
10,22,0,17,55.2652941176471,3
10,23,0,19,55.5573684210526,4
13,0,0,1,90,1
13,1,0,1,92.6,1
13,5,0,1,77.78,1
13,7,0,1,114.82,1
13,8,0,1,99,1
13,12,0,1,94,1
13,13,0,1,85.19,1
13,17,0,1,103,1
13,18,0,2,102.21,2
13,22,0,1,99,1
13,23,0,1,99,1
14,0,0,1,90,1
14,5,0,1,77.78,1
14,8,0,1,99,1
14,13,0,1,85.19,1
15,0,0,4,103.2375,3
15,1,0,2,103.705,2
15,2,0,3,91.3666666666667,2
15,3,0,1,96.3,1
15,5,0,2,99.82,2
15,7,0,1,87,1
15,9,0,2,105.565,1
15,10,0,1,77,1
15,11,0,3,104.946666666667,3
15,13,0,1,102,1
15,15,0,3,105.996666666667,2
15,20,0,4,101.975,4
15,22,0,1,97.42,1
15,23,0,1,99.08,1
16,0,0,10,94.157,5
16,1,0,3,100.003333333333,3
16,2,0,3,91.3666666666667,2
16,3,0,3,98.7733333333333,3
16,5,0,2,99.82,2
16,7,0,6,88.325,4
16,8,0,3,97.6333333333333,3
16,9,0,3,97.54,2
16,10,0,5,97.6,3
16,11,0,12,82.4708333333333,6
16,12,0,6,104.856666666667,5
16,13,0,2,86.19,2
16,14,0,3,101.3,3
16,15,0,10,93.624,6
16,16,0,3,105.473333333333,3
16,17,0,2,103.5,2
16,18,0,2,102.69,2
16,19,0,2,112.325,2
16,20,0,7,99.4742857142857,6
16,21,0,1,92.6,1
16,22,0,6,84.4533333333333,5
16,23,0,6,98.8566666666667,4
17,0,0,1,107.42,1
17,1,0,3,103.703333333333,3
17,2,0,1,88.9,1
17,3,0,2,98.155,2
17,5,0,1,74.08,1
17,8,0,1,96.3,1
17,10,0,2,105,2
17,11,0,3,92.4766666666667,3
17,12,0,6,99.89,5
17,13,0,1,96.3,1
17,14,0,2,100.65,2
17,15,0,2,98.345,2
17,16,0,3,107.473333333333,3
17,17,0,2,104,2
17,18,0,3,105.196666666667,3
17,19,0,2,104.175,2
17,20,0,4,98.1075,4
17,21,0,1,92.6,1
17,22,0,3,85.23,3
17,23,0,2,108.71,2
18,0,0,2,98.71,2
18,1,0,2,109.255,2
18,3,0,3,101.243333333333,3
18,5,0,3,90.0066666666667,2
18,10,0,2,105,2
18,11,0,1,107.42,1
18,12,0,5,100.468,4
18,13,0,2,98.15,2
18,14,0,1,105,1
18,15,0,2,109.64,2
18,16,0,1,112,1
18,17,0,1,107,1
18,18,0,1,92.79,1
18,19,0,1,104.64,1
18,20,0,3,97.4733333333333,3
18,21,0,1,92.6,1
18,22,0,2,93.345,2
18,23,0,2,108.71,2
19,1,0,1,39.82,1
19,9,0,1,44.4,1
19,10,0,1,44.4,1
19,13,0,1,37.04,1
19,14,0,1,33,1
20,1,0,1,39.82,1
20,9,0,1,44.4,1
20,10,0,1,44.4,1
20,13,0,1,37.04,1
20,14,0,1,33,1
21,0,0,7,56.48,4
21,1,0,2,13.52,1
21,2,0,5,67.82,1
21,3,0,6,57.1666666666667,1
21,4,0,1,51.9,1
21,7,0,5,67.8,1
21,8,0,1,29.63,1
21,10,0,7,53.9771428571429,2
21,11,0,5,35.046,4
21,13,0,3,23.94,3
21,14,0,12,68.1116666666667,3
21,15,0,7,63.0142857142857,4
21,16,0,1,34,1
21,18,0,4,70.0975,2
21,19,0,11,53.7563636363636,2
21,20,0,3,25.8766666666667,3
21,21,0,2,51.855,2
21,22,0,1,77,1
21,23,0,10,68.4,2
22,0,0,8,52.06,4
22,1,0,1,5.37,1
22,2,0,10,73.988,2
22,3,0,3,64.6666666666667,1
22,4,0,1,51.9,1
22,7,0,3,55.6666666666667,2
22,8,0,2,75.93,1
22,9,0,1,46,1
22,10,0,5,36.83,4
22,11,0,7,48.6757142857143,2
22,12,0,3,70.6666666666667,1
22,14,0,9,62.0322222222222,3
22,15,0,12,46.5833333333333,2
22,16,0,1,48.15,1
22,17,0,1,36.85,1
22,18,0,8,66.67,1
22,19,0,6,60.7716666666667,2
22,20,0,16,46.914375,3
22,21,0,1,55.56,1
22,22,0,3,74.3333333333333,1
22,23,0,5,64,2
23,0,0,43,59.0544186046512,2
23,1,0,19,65.1515789473684,1
23,2,0,16,65.755,1
23,5,0,17,55.7782352941177,1
23,7,0,48,50.875,1
23,9,0,51,48.1509803921569,2
23,10,0,6,61.5483333333333,3
23,11,0,27,46.5207407407407,2
23,12,0,9,38.1111111111111,2
23,13,0,25,47.5592,1
23,14,0,31,45.1774193548387,3
23,15,0,17,65.3823529411765,1
23,19,0,40,50.5,1
